State,GunMurderRate,GunOwnership,ViolentCrime,Murder,rape,Robbery,assault,PropertyCrime,Burglary,Larceny,MotorTheft
AL,2.8,51.7%,449.9,7.1,26.9,104.1,311.8,3502.2,984.7,2312.8,204.8
AK,2.7,57.8%,603.2,4.1,79.7,86.1,433.2,2739.4,403.3,2128,208.1
AZ,3.6,31.1%,428.9,5.5,34.7,112.7,276,3539.2,807.8,2439.1,292.3
AR,3.2,55.3%,469.1,5.9,42.3,78.7,342.3,3660.1,1081.3,2384.7,194.1
CA,3.4,21.3%,423.1,5,20.6,148.6,248.9,2758.7,646.1,1669.5,443.2
CO,1.3,34.7%,308.9,3.1,40.7,65.4,199.6,2684.7,504.2,1947.4,233.1
CT,2.7,16.7%,283,4.1,25.6,102.7,150.6,2140,409.7,1550.7,179.6
DE,4.2,25.5%,547.4,6.2,26.5,162.7,352,3340.9,803.7,2380.6,156.6
DC,16.5,3.6%,1243.7,13.9,37.3,638.3,554.1,4860.8,556.5,3725.3,579
FL,3.9,24.5%,487.1,5.2,27.2,123.7,330.9,3276.7,794.9,2288.6,193.2
GA,3.8,40.3%,378.9,5.9,21.4,125.6,226,3410.6,874.9,2248,287.7
HI,0.5,6.7%,239.2,2.1,20.5,74.7,141.9,3075.2,573.1,2243.2,258.9
ID,0.8,55.3%,207.9,1.8,30,15.2,160.9,1983.5,450.3,1447.7,85.5
IL,2.8,20.2%,414.8,5.8,27.7,151.2,230,2578.7,552.2,1826.9,199.5
IN,2.2,39.1%,345.7,4.7,25.5,100.9,214.6,3029.2,728.3,2092,209
IO,0.7,42.9%,263.9,1.5,28.3,31.3,202.8,2271.8,556.1,1584.8,130.9
KS,2.2,42.1%,354.6,2.9,36.5,52,263.2,3143.2,650.3,2258,234.9
KY,2.7,47.7%,222.6,4.5,29,80.7,108.4,2552.9,675.4,1725.2,152.2
LA,7.7,44.1%,496.9,10.8,25.2,119,342,3540.6,915.7,2453.7,171.3
ME,0.8,40.5%,122.7,1.9,28,31.8,61,2509.9,561.3,1873.7,74.9
MD,5.1,21.3%,476.8,6.3,21,172.3,277.2,2753.5,573.2,1924.9,255.3
MA,1.8,12.6%,405.5,1.8,24.7,98.6,280.4,2153,519.7,1494.4,138.9
MI,4.2,38.4%,454.5,7,46.4,105.6,295.5,2530.5,664.4,1612,254.1
MN,1,41.7%,230.9,1.8,30.5,64.6,134,2568.3,471.8,1939.3,157.2
MS,4,55.3%,260.8,7.4,27.5,76.5,149.4,2811,940.6,1725.6,144.8
MO,5.4,41.7%,450.9,6.5,25.1,96,323.4,3314.4,705.2,2338.4,270.8
MT,1.2,57.7%,272.2,2.7,37.7,19,212.8,2583.7,387.4,2028.3,168
NE,1.8,38.6%,259.4,2.9,38.3,60.9,157.4,2754.9,470.8,2060.7,223.5
NV,3.1,33.8%,607.6,4.5,33.7,178.3,391.1,2809.4,801.8,1644.6,363.1
NH,0.4,30.0%,187.9,1.1,34,35.7,117,2324,412.2,1834.3,77.5
NJ,2.8,12.3%,290.2,4.4,11.7,128.4,145.7,2047.3,477.6,1383.7,185.9
NM,3.3,34.8%,559.1,5.6,45.9,88.6,419.1,3600.7,1025.3,2313.4,261.9
NY,2.7,18.0%,406.8,3.5,14.6,146.4,242.3,1922,329.9,1503.5,88.6
NC,3,41.3%,353.4,4.9,20.3,96.3,231.8,3369.5,1018.5,2185.7,165.3
ND,0.6,50.7%,244.7,4,38.9,18.7,183.1,2010.1,339.8,1505.8,164.5
OH,2.7,32.4%,299.7,4.3,31.7,132,131.7,3117.4,895.9,2052.5,169
OK,3,42.9%,469.3,5.7,41.6,84.7,337.3,3401,936.6,2161.3,303.1
OR,0.9,39.8%,247.6,2.4,29.2,61.9,154.1,3224.2,561.7,2400.9,261.7
PA,3.6,34.7%,348.7,5.4,26.1,122.8,194.4,2166.3,445.5,1603.1,117.7
RI,1.5,12.8%,252.4,3.2,27.4,67.9,153.9,2572.3,566.4,1755.7,250.2
SC,4.5,42.3%,558.8,6.9,35.5,95,421.4,3822.2,954.5,2588.3,279.5
SD,1,56.6%,321.8,3,70.2,19,229.7,2060.1,391,1541.4,127.8
TN,3.5,43.9%,643.6,6,31.5,126.5,479.6,3371.4,870.2,2300.1,201
TX,3.2,35.9%,408.6,4.4,29.6,116.6,258,3361.8,785.9,2326.4,249.4
UT,0.8,43.9%,205.8,1.8,33,38.5,132.5,2991.8,453.3,2328.4,210.1
VT,0.3,42.0%,142.6,1.3,19.3,17.9,104.2,2398.7,633.4,1695.8,69.5
VA,3.1,35.1%,190.1,3.8,17.7,57.5,111.1,2162.1,360.5,1690.7,110.9
WA,1.4,33.1%,295.6,3,31.8,83.3,177.5,3658.6,880.5,2395.3,382.8
WV,1.5,55.4%,316.3,3.9,22.7,45.2,244.6,2364.9,608.5,1637.3,119.1
WI,1.7,44.4%,280.5,3,21.3,80.7,175.5,2453.8,488,1822.3,143.5
WY,0.9,59.7%,201.4,2.4,26.7,10.6,161.7,2293.8,368.7,1823.9,101.3
